id,hyp,score,picked_variant
1,"""Ngoku sinempunku enenyanga ezine engenaswekile eyayifudula ineswekile,"" wongeze ngelitshoyo.",-220.15056324005127,variant_1
2,"Ugqirha Ehud Ur, unjingalwazi wezonyango eYunivesithi yasee-Dalhousie e-Halifax, e-Nova Scotia ekwangusihlali wesebe lezophononongo kunye nesayensi kwi-Canadian Diabetes Association, ulumkise ngokuba uphando lusaqala.",-729.4549674987793,variant_1
3,"Njengezinye iingcali, uyathandabuza ukuba ingaba isifo seswekile siyanyangeka na, esazi ukuba ezi zinto azinanto kwenza nabantu esele benesifo seswekile sohlobo 1.",-356.5264883041382,variant_1
4,"NgoMvulo, uSara Danius, unobhala osisigxina weKomiti yeNobel yoNcwadi kwiSweden Academy, uxele esidlangalaleni ngexesha lenkqubo kanomathotholo kwiSveriges Radio eSweden ikomiti, engakwazanga ukumfumana ngqo uBob Dylan ngokuthe ngqo ngokuphumelela i-2016 Nobel Prize kuLwazi, iinzame zayo zokufikelela kuye.",-866.2193899154663,variant_1
5,"UDanius uthe, ""Ngalo mzuzu asenzi nto. Ndinxebelelene ndathumela i-imeyile koyemtu ophangela kufuphi naye ndafumana iimpendulo ezinobuhlobo kakhulu. Okwangoku, oku kwanele.""",-484.06280612945557,variant_1
6,"Ngaphambili, Igosa Eliphezulu lakwaRing, uJamie Siminoff, wathi le nkampani yaqala xa ibheli kwivenkile yakhe esegaraji yayingasebenzi, ingenzi ngxolo.",-420.2919178009033,variant_1
7,"Uye wakha intsimbi yomnyango we-WiFi, wathi.",-135.34305477142334,variant_1
8,USiminoff uthe ukuthengisa kwandisiwe emva kokubonakala kwakhe ngo-2013 kwisiqendu seShark Tank apho iphaneli yokubonisa yenqabile ukuxhasa ngemali ukuqala kwayo.,-369.39044284820557,variant_1
9,"Ngasekupheleni kuka-2017, uSiminoff kwitshaneli yokuthenga kwiTV enguQVC.",-227.08217239379883,variant_1
10,"U-Ring waye waliphelisa ityala elisemthethweni nenkampani yokhuseleko ekhuphisanayo , i-ADT Corporation.",-241.51858806610107,variant_1
11,"Ngeli lixa iyeza elisalingwayo libonakala likucutha ukubulawa yiEbola,kude kube ngoku, akukho machiza abonakalise ekulungele ukunyanga usuleleko osele lukhona.",-401.3508186340332,variant_1
12,"Elinye ichiza, iZMapp, belibonakala ngathi liyathembisa kuhlolo, kodwa uphononongo olusemthethweni lubonise ukuba beluneenzuzo ezimbalwa zokuthintela ukufa kunezo bezifunwa.",-401.9887933731079,variant_1
13,"Kuvavanyo kwe PALM, ZMapp wasebenza njengesilawuli, into ethetha ukuthi ososayensi bayisebenzisa njenge siseko baze bayithelekisa nezinye ezintathu zamachiza.",-357.5463933944702,variant_1
14,"I-USA Gymnastics iyayixhasa ileta evela kwiKomiti yeOlimpiki eUnited States, yaye iyayamkela imfuneko yokuba intsapho yezeOlimpiki kufuneka ikhuthaze iimeko zokhuseleko kubo bonke abadlali bethu.",-466.78383445739746,variant_1
