id,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6,variant_7,variant_8,variant_9
1,"""Ngoku sinempunku enenyanga ezine engenaswekile eyayifudula ineswekile,"" wongeze ngelitshoyo.",,,,,,,,
2,"Ugqirha Ehud Ur, unjingalwazi wezonyango eYunivesithi yasee-Dalhousie e-Halifax, e-Nova Scotia ekwangusihlali wesebe lezophononongo kunye nesayensi kwi-Canadian Diabetes Association, ulumkise ngokuba uphando lusaqala.",,,,,,,,
3,"Njengezinye iingcali, uyathandabuza ukuba ingaba isifo seswekile siyanyangeka na, esazi ukuba ezi zinto azinanto kwenza nabantu esele benesifo seswekile sohlobo 1.",,,,,,,,
4,"NgoMvulo, uSara Danius, unobhala osisigxina weKomiti yeNobel yoNcwadi kwiSweden Academy, uxele esidlangalaleni ngexesha lenkqubo kanomathotholo kwiSveriges Radio eSweden ikomiti, engakwazanga ukumfumana ngqo uBob Dylan ngokuthe ngqo ngokuphumelela i-2016 Nobel Prize kuLwazi, iinzame zayo zokufikelela kuye.",,,,,,,,
5,"UDanius uthe, ""Ngalo mzuzu asenzi nto. Ndinxebelelene ndathumela i-imeyile koyemtu ophangela kufuphi naye ndafumana iimpendulo ezinobuhlobo kakhulu. Okwangoku, oku kwanele.""",,,,,,,,
6,"Ngaphambili, Igosa Eliphezulu lakwaRing, uJamie Siminoff, wathi le nkampani yaqala xa ibheli kwivenkile yakhe esegaraji yayingasebenzi, ingenzi ngxolo.",,,,,,,,
7,"Uye wakha intsimbi yomnyango we-WiFi, wathi.",,,,,,,,
8,USiminoff uthe ukuthengisa kwandisiwe emva kokubonakala kwakhe ngo-2013 kwisiqendu seShark Tank apho iphaneli yokubonisa yenqabile ukuxhasa ngemali ukuqala kwayo.,,,,,,,,
9,"Ngasekupheleni kuka-2017, uSiminoff kwitshaneli yokuthenga kwiTV enguQVC.",,,,,,,,
10,"U-Ring waye waliphelisa ityala elisemthethweni nenkampani yokhuseleko ekhuphisanayo , i-ADT Corporation.",,,,,,,,
11,"Ngeli lixa iyeza elisalingwayo libonakala likucutha ukubulawa yiEbola,kude kube ngoku, akukho machiza abonakalise ekulungele ukunyanga usuleleko osele lukhona.",,,,,,,,
12,"Elinye ichiza, iZMapp, belibonakala ngathi liyathembisa kuhlolo, kodwa uphononongo olusemthethweni lubonise ukuba beluneenzuzo ezimbalwa zokuthintela ukufa kunezo bezifunwa.",,,,,,,,
13,"Kuvavanyo kwe PALM, ZMapp wasebenza njengesilawuli, into ethetha ukuthi ososayensi bayisebenzisa njenge siseko baze bayithelekisa nezinye ezintathu zamachiza.",,,,,,,,
14,"I-USA Gymnastics iyayixhasa ileta evela kwiKomiti yeOlimpiki eUnited States, yaye iyayamkela imfuneko yokuba intsapho yezeOlimpiki kufuneka ikhuthaze iimeko zokhuseleko kubo bonke abadlali bethu.",,,,,,,,
15,"Siyavumelana nengxelo ye-USOC yokuba umdla weembaleki zethu kunye neeklabhu, kunye nemidlalo yabo, inokuncediswa ngcono ngokuqhubela phambili notshintsho olunentsingiselo kumbutho wethu, endaweni yokumiselwa ngokusesikweni.",,,,,,,,
16,I-USA Gymnastics iyaluxhasa uphando oluzimeleyo oluza kubhenca ukuba ukuxhatshazwa okukhulu ngohlobo oluchazwe ngamaxhoba kaLarry Nassar kuye kwaqhubeka njani kangangexesha elide yaye iza kwamkela naluphi utshintsho olufanelekileyo.,,,,,,,,
17,"I-USA Gymnastics kunye ne-USOC banenjongo efanayo-yokwenza umdlalo wejiminastiki, nabanye, bakhuseleke kangangoko kunokwenzeka ukuba iimbaleki zilandele amaphupha azo kwindawo ekhuselekileyo, efanelekileyo nexhotyisiweyo.",,,,,,,,
18,"Kuwo onke ama-1960, u-Brzezinski wasebenzela uJohn F. Kennedy njengomcebisi wakhe emva koko ulawulo luka-Lyndon B. Johnson.",,,,,,,,
